group,date,weighted_price,customers,price_cw,idx
"PJM, high DC (10 plus DCs)",2024-12-01,119075726.64133926,7306115.0,16.29809093360004,86.89657080475689
"PJM, high DC (10 plus DCs)",2025-01-01,119789992.14513788,7309298.0,16.38871368291974,87.3797443362376
"PJM, high DC (10 plus DCs)",2025-02-01,123504943.36265935,7330148.0,16.848901736043985,89.83333009083499
"PJM, high DC (10 plus DCs)",2025-03-01,129550362.0073035,7342692.0,17.643442215375984,94.06958348399654
"PJM, high DC (10 plus DCs)",2025-04-01,132715616.04064086,7359393.0,18.03350032273597,96.14925723733776
"PJM, high DC (10 plus DCs)",2025-05-01,138480271.85504782,7383356.0,18.75573544808727,100.0
"PJM, high DC (10 plus DCs)",2025-06-01,151081961.36691895,7423345.0,20.352275337724294,108.51227558661178
"PJM, high DC (10 plus DCs)",2025-07-01,146096559.2394318,7426747.0,19.671675800916848,104.883521391975
"PJM, high DC (10 plus DCs)",2025-08-01,151648999.6643517,7449928.0,20.355767151622366,108.53089289920791
"PJM, high DC (10 plus DCs)",2025-09-01,149156094.30987862,7460161.0,19.993683019693357,106.60036805825355
"PJM, high DC (10 plus DCs)",2025-10-01,142458119.8756378,7466534.0,19.079551486089503,101.72649075211422
"PJM, high DC (10 plus DCs)",2025-11-01,139360839.2542038,7458504.0,18.684824631615644,99.62192462850687
"PJM, high DC (10 plus DCs)",2025-12-01,142088137.77665633,7476927.0,19.00354755057209,101.32126038550035
"PJM, high DC (10 plus DCs)",2026-01-01,141035253.97795525,7478535.0,18.85867405554099,100.54883802204739
"PJM, high DC (10 plus DCs)",2026-02-01,143916370.8514967,7479414.0,19.241663966120434,102.59082625353794
"PJM, high DC (10 plus DCs)",2026-03-01,150302536.0031888,7499414.0,20.041904074530194,106.85746837282294
"PJM, low or zero DC",2023-01-01,174050533.53150982,11405092.0,15.260774181524342,83.18312557676505
"PJM, low or zero DC",2023-02-01,177829310.76661143,11427005.0,15.56219768579881,84.82611884234964
"PJM, low or zero DC",2023-03-01,180064450.83320716,11453835.0,15.72088744365596,85.69110183066742
"PJM, low or zero DC",2023-04-01,184610801.4120811,11404626.0,16.18736128761093,88.23374821796274
"PJM, low or zero DC",2023-05-01,186037308.8049988,11121552.0,16.72763916447981,91.17868416573017
"PJM, low or zero DC",2023-06-01,181335697.15617126,10674013.0,16.98852129524025,92.60069531573149
"PJM, low or zero DC",2023-07-01,175005465.07380787,10606413.0,16.4999670551965,89.93769354287117
"PJM, low or zero DC",2023-08-01,174504876.0652764,10557766.0,16.528579631834653,90.09365440876536
"PJM, low or zero DC",2023-09-01,175371279.3309338,10502622.0,16.697856909534952,91.01634764049435
"PJM, low or zero DC",2023-10-01,181523901.06553957,10460962.0,17.352505540651,94.58469342970804
"PJM, low or zero DC",2023-11-01,176810020.26138386,10447444.0,16.92375860175789,92.24768810911448
"PJM, low or zero DC",2023-12-01,170095605.5308852,10450609.0,16.27614290524937,88.71767730052972
"PJM, low or zero DC",2024-01-01,195287383.1920664,11938276.0,16.358089157267464,89.16434830758904
"PJM, low or zero DC",2024-02-01,197126851.24239236,11915648.0,16.543527573355,90.17513235227013
"PJM, low or zero DC",2024-03-01,205317428.85765088,11916598.0,17.229533870123912,93.91440188419632
"PJM, low or zero DC",2024-04-01,210281227.80948898,11913012.0,17.651390581113237,96.21385008703454
"PJM, low or zero DC",2024-05-01,207323373.0109957,11809139.0,17.556180260982252,95.69487956028054
"PJM, low or zero DC",2024-06-01,204040872.25514457,11897998.0,17.149176882963385,93.47639361053763
"PJM, low or zero DC",2024-07-01,200506574.20542043,11833586.0,16.943855751369064,92.35723325406954
"PJM, low or zero DC",2024-08-01,202794760.26907462,11852488.0,17.10988952438295,93.26224685471104
"PJM, low or zero DC",2024-09-01,206633956.69999284,11851803.0,17.434811960677447,95.03332763341199
"PJM, low or zero DC",2024-10-01,213195435.18461874,11863642.0,17.970487914640273,97.953179510972
"PJM, low or zero DC",2024-11-01,207289572.4078546,11814513.0,17.54533364243237,95.6357570267717
"PJM, low or zero DC",2024-12-01,200494479.199551,11847484.0,16.922958427253498,92.24332653377824
"PJM, low or zero DC",2025-01-01,200041470.57526213,11895174.0,16.817027693353804,91.66592138803635
"PJM, low or zero DC",2025-02-01,206146601.19154024,11958223.0,17.23889922370073,93.9654503679354
"PJM, low or zero DC",2025-03-01,213627675.4144733,12003137.0,17.797653681239606,97.01109809557846
"PJM, low or zero DC",2025-04-01,219286449.8020533,12045096.0,18.205454718007502,99.23393190782812
"PJM, low or zero DC",2025-05-01,222650346.9098292,12136181.0,18.345997551439716,100.0
"PJM, low or zero DC",2025-06-01,232843145.12876537,12147677.0,19.16770960643466,104.47897179039174
"PJM, low or zero DC",2025-07-01,230409341.6472661,12199487.0,18.886805785133923,102.947826806244
"PJM, low or zero DC",2025-08-01,235906816.06887156,12235793.0,19.280059418206204,105.09136591862887
"PJM, low or zero DC",2025-09-01,240696262.44246638,12237463.0,19.66880410118228,107.21032773515635
"PJM, low or zero DC",2025-10-01,247362352.34539497,12335514.0,20.052861384243492,109.3037395650902
"PJM, low or zero DC",2025-11-01,240136579.70329705,12302690.0,19.51903036679759,106.39394403094651
"PJM, low or zero DC",2025-12-01,231593005.02300343,12327055.0,18.787375007493957,102.4058514933117
"PJM, low or zero DC",2026-01-01,234738581.24866024,12340762.0,19.02140088664381,103.68147511908444
"PJM, low or zero DC",2026-02-01,233491370.45937234,12319323.0,18.953263134619682,103.31007121023141
"PJM, low or zero DC",2026-03-01,250124783.09557483,12404182.0,20.164552817394554,109.91254501618597
