opening_year_method,n_facilities
baxtel:/data-center/equinix-sv11,1
baxtel:/data-center/equinix-santa-clara-sv14,1
baxtel:/data-center/equinix-sv10,1
baxtel:/data-center/equinix-sunnyvale-sv6,1
baxtel:/data-center/equinix-sunnyvale-sv4,1
baxtel:/data-center/equinix-seattle-se3,1
baxtel:/data-center/equinix-santa-clara-sv2,1
baxtel:/data-center/equinix-santa-clara-sv17,1
baxtel:/data-center/equinix-santa-clara-sv16,1
baxtel:/data-center/equinix-santa-clara-sv15,1
baxtel:/data-center/element-critical-ch2,1
baxtel:/data-center/element-critical-ch1,1
baxtel:/data-center/edged-energy-chicago-ord02,1
baxtel:/data-center/databank-ashburn-iad1,1
baxtel:/data-center/databank-plano-dfw3,1
baxtel:/data-center/databank-pittsburgh-pit2,1
baxtel:/data-center/databank-piscataway-ewr2,1
baxtel:/data-center/databank-orangeburg-lga3,1
baxtel:/data-center/databank-mclean-iad2,1
baxtel:/data-center/databank-las-vegas-las1,1
baxtel:/data-center/databank-dfw4-empire-central,1
baxtel:/data-center/databank-ashburn-iad3,1
baxtel:/data-center/dastor-3400-horizon,1
baxtel:/data-center/dataverge-brooklyn,1
baxtel:/data-center/cyrusone-somerset,1
baxtel:/data-center/cyrusone-sat10,1
baxtel:/data-center/cyrusone-san-antonio-sat5,1
baxtel:/data-center/cyrusone-quincy,1
baxtel:/data-center/cyrusone-phx8,1
baxtel:/data-center/cyrusone-phx4,1
baxtel:/data-center/cyrusone-nva7,1
baxtel:/data-center/cyrusone-council-bluffs,1
baxtel:/data-center/databank-santa-clara-sfo1,1
baxtel:/data-center/dc-blox-myrtle-beach,1
baxtel:/data-center/edgecore-silicon-valley,1
baxtel:/data-center/digital-realty-dfw35,1
baxtel:/data-center/edgeconnex-chi02,1
baxtel:/data-center/edgeconnex-chi01,1
baxtel:/data-center/digital-realty-sjc29,1
baxtel:/data-center/digital-realty-sjc15,1
baxtel:/data-center/digital-realty-pdx10,1
baxtel:/data-center/digital-realty-iad55,1
baxtel:/data-center/digital-realty-iad44,1
baxtel:/data-center/digital-realty-ewr21,1
baxtel:/data-center/digital-realty-dfw29,1
baxtel:/data-center/digital-crossroad-hammond-in-phase-2,1
baxtel:/data-center/digital-realty-dfw28,1
baxtel:/data-center/digital-realty-dfw18,1
baxtel:/data-center/digital-realty-dfw16,1
baxtel:/data-center/digital-realty-aus11,1
baxtel:/data-center/digital-realty-atl11,1
baxtel:/data-center/digital-fortress-south-seattle,1
baxtel:/data-center/digital-fortress-richmond,1
baxtel:/data-center/digital-fortress-lynnwood,1
baxtel:/data-center/equinix-vienna-dc7,1
