state,utility_number,utility_name,ownership,residential_customers,residential_price_cents_kwh,avg_monthly_bill_dollars,cum_dc_count,cum_dc_per_100k_customers,n_service_area_features,service_area_states_sampled,dc_group
MN,9475,Itasca-Mantrap Co-op Electrical Assn,Cooperative,11200.0,13.436138500343954,122.07291666666664,0,0.0,1,MN,low_dc
MN,1009,City of Austin - (MN),Municipal,10795.0,15.343458305399412,91.87123668364984,0,0.0,1,MN,low_dc
MN,18047,Steele-Waseca Cooperative Electric,Cooperative,10725.0,15.629518720116474,146.8057498057498,0,0.0,1,MN,low_dc
MN,295,City of Alexandria - (MN),Municipal,8758.0,11.565720226106166,84.68828499657455,0,0.0,1,MN,low_dc
MN,20737,Willmar Municipal Utilities,Municipal,8662.0,12.21229868228404,80.2451319941507,0,0.0,1,MN,low_dc
MN,12227,Meeker Coop Light & Power Assn,Cooperative,8572.0,14.090419414479333,188.18731529009176,0,0.0,1,MN,low_dc
MN,2138,Brainerd Public Utilities,Municipal,6956.0,12.146960818108699,75.98835537665325,0,0.0,1,MN,low_dc
MN,9130,Hutchinson Utilities Comm,Municipal,6653.0,11.085420680796403,75.66761861816724,0,0.0,1,MN,low_dc
MN,11731,City of Marshall - (MN),Municipal,5857.0,9.695376916488943,82.14529622673724,0,0.0,1,MN,low_dc
NC,9837,Jones-Onslow Elec Member Corp,Cooperative,79690.0,13.091985458910774,141.4143347136822,0,0.0,1,NC,low_dc
NC,6235,Fayetteville Public Works Commission,Municipal,75987.0,12.211293466286262,118.52136988344496,0,0.0,1,NC,low_dc
NC,7639,Greenville Utilities Comm,Municipal,65731.0,11.97107309327983,118.90939333546322,0,0.0,1,NC,low_dc
NC,17572,South River Elec Member Corp,Cooperative,45730.0,13.301064607034757,167.20424229171223,0,0.0,1,NC,low_dc
NC,3107,Carteret-Craven El Member Corp,Cooperative,38858.0,12.146420715750384,122.33345342872339,0,0.0,1,NC,low_dc
NC,8571,Town of High Point,Municipal,38079.0,11.629801921886997,102.41931248194543,0,0.0,1,NC,low_dc
NC,20785,City of Wilson - (NC),Municipal,32078.0,12.134723924614473,131.42262609888397,0,0.0,1,NC,low_dc
NC,15671,Randolph Electric Member Corp,Cooperative,31086.0,15.907553403946087,163.13694267515925,0,0.0,1,NC,low_dc
NC,6640,Four County Elec Member Corp,Cooperative,30807.0,13.975906234843526,173.82250787158762,0,0.0,1,NC,low_dc
NC,4150,City of Concord - (NC),Municipal,29857.0,11.844704222513354,118.09793348293533,0,0.0,1,NC,low_dc
NC,719,Town of Apex- (NC),Municipal,29289.0,10.517067957502986,95.19785585031923,0,0.0,1,NC,low_dc
NC,16226,City of Rocky Mount - (NC),Municipal,25407.0,12.181222162368119,121.63642565697118,0,0.0,1,NC,low_dc
NC,18957,Tri-County Elec Member Corp (NC),Cooperative,22523.0,12.758869455565526,158.35479287839098,0,0.0,1,NC,low_dc
NC,3250,Central Electric Membership Corp. - (NC),Cooperative,22071.0,14.33509019985949,184.12698412698413,0,0.0,1,NC,low_dc
NC,19108,Tideland Electric Member Corp,Cooperative,21551.0,16.181376504746137,150.42225418774072,0,0.0,1,NC,low_dc
NC,13416,City of New Bern - (NC),Municipal,21226.0,12.646805599329678,129.18001507585035,0,0.0,1,NC,low_dc
NC,10966,City of Lexington - (NC),Municipal,18053.0,11.749222139908985,128.11628722834618,0,0.0,1,NC,low_dc
NC,240,Albemarle Electric Member Corp,Cooperative,12728.0,14.471975676094496,177.3190341504295,0,0.0,1,NC,low_dc
NC,18022,City of Statesville - (NC),Municipal,12120.0,11.706065547166604,104.15291529152915,0,0.0,1,NC,low_dc
NC,20142,City of Washington - (NC),Municipal,11547.0,13.008537584958763,129.42539187667793,0,0.0,1,NC,low_dc
NC,5760,City of Elizabeth City - (NC),Municipal,11366.0,11.756040458246195,131.06340547832718,0,0.0,1,NC,low_dc
NC,232,City of Albemarle - (NC),Municipal,11248.0,10.846117338321305,115.13231981981983,0,0.0,1,NC,low_dc
NC,5656,Edgecombe-Martin County E M C,Cooperative,10716.0,16.064833194157348,182.5183526191365,0,0.0,1,NC,low_dc
NC,12801,City of Monroe - (NC),Municipal,10543.0,12.283782453146028,118.32495494640995,0,0.0,1,NC,low_dc
NC,10345,City of Kinston - (NC),Municipal,10042.0,13.07487278895081,138.813649339441,0,0.0,1,NC,low_dc
NC,11318,City of Lumberton - (NC),Municipal,9983.0,13.8340001425241,113.4345053257204,0,0.0,1,NC,low_dc
NC,9087,Town of Huntersville - (NC),Municipal,8080.0,12.12498949844577,119.07900165016503,0,0.0,1,NC,low_dc
NC,12944,City of Morganton - (NC),Municipal,7055.0,10.67327418538353,94.63737302149775,0,0.0,1,NC,low_dc
NC,18466,Town of Tarboro - (NC),Municipal,5592.0,13.55730398545478,125.56628516928946,0,0.0,1,NC,low_dc
NE,11018,Lincoln Electric System,Municipal,134912.0,10.857879160963225,87.70371303763442,0,0.0,1,NE,low_dc
NE,40606,City of Grand Island - (NE),Municipal,22799.0,10.93292657789504,87.24066845037062,0,0.0,1,NE,low_dc
NE,11251,Loup River Public Power Dist,Political Subdivision,16292.0,10.588992059613464,129.6699811768557,0,0.0,1,NE,low_dc
NE,4911,Dawson Power District,Political Subdivision,16080.0,11.409912517427212,145.05182421227198,0,0.0,1,NE,low_dc
NE,17642,Southern Public Power District,Political Subdivision,15215.0,9.214510587160001,119.26881367071968,0,0.0,1,NE,low_dc
NE,6779,City of Fremont - (NE),Municipal,14077.0,11.966224116340692,102.38983211385,0,0.0,1,NE,low_dc
NE,13725,City of North Platte,Municipal,11906.0,11.364389427447517,93.6222632846184,0,0.0,1,NE,low_dc
NE,8245,City of Hastings - (NE),Municipal,11611.0,11.320347294075308,90.30229954353631,0,0.0,1,NE,low_dc
NE,4373,Cornhusker Public Power Dist,Political Subdivision,7385.0,10.84473074354845,155.77522004062288,0,0.0,1,NE,low_dc
NE,5780,Elkhorn Rural Public Pwr Dist,Political Subdivision,6146.0,9.414521683854991,134.54550385074302,0,0.0,1,NE,low_dc
NJ,19856,City of Vineland - (NJ),Municipal,22774.0,17.835396677031074,136.84977020579024,0,0.0,1,NJ,low_dc
